,okt_noun,okt_verb
34,"['내년', '여름', '진짜', '위드', '코로나', '또', '마스크', '겨울', '얼굴', '보온', '가끔', '익명성', '보장', '면도', '이제', '마스크', '제', '눈코입', '못', '하하']","['하지', '않을까요', '근데', '쓰니까', '되고', '돼서', '좋은', '있더라고요', '벗고', '들고', '다니겠어요']"
35,"['백신', '패스', '관', '찬스', '두']","['써야', '할']"
36,"['신세계', '센텀시티', '골드', '트', '단계', '일상', '회복', '오디오', '추천', '방', '집', '오디오', '힐링', '임', '뮤', '조로', '코로나', '블루', '해소', '블루투스', '스트리밍', '플랫폼', '연결', '가능', '집', '매장', '여행지', '목적', '사용', '가능', '부산', '울산', '창원', '포항', '오디오', '추천']","['안전한', '듣는', '다']"
37,"['단계', '일상', '회복', '회사', '관행', '하나', '둘', '저', '목요일', '지부', '회식']","['따른', '잡힌']"
38,"['영화', '햤', '백신', '패스', '관', '못', '봄']","['아니', '볼려고', '는게']"
39,"['위드', '코로나', '폐해', '묘']",['아니']
40,"['차라리', '그게', '더', '위드', '코로나', '무인']","['맞아요', '좋아', '가능하지', '않나', '싶은데']"
41,"['위드', '코로나', '안', '자']","['좋네요', '아직']"
42,"['무슨', '일이', '위드', '코로나', '나니', '난리', '난', '설', '입', '구역']","['하고', '대']"
43,"['네덜란드', '거', '정치', '반발', '미접', '종', '대상', '백신', '패스', '계획', '철회', '이번', '조치', '사회', '분열', '초래', '수', '우려', '목소리', '기독교', '민주당', '바', '판', '덴', '베르크', '의원', '양극화', '우리', '이', '위기', '것', '말']","['센', '할', '있다는', '나왔다', '벗어나게', '하지', '할', '했다']"
44,"['월', '위드', '코로나', '시행', '제주도', '항공권', '요금', '인상', '제주항공', '제주', '여행', '위드', '코로나', '네이버', '카페']",['되었네요']
45,"['위드', '코로나', '개념', '것', '코로나', '질병', '취급', '독감', '일상', '질병', '것', '모든', '감염', '관리', '위중', '증', '환자', '관리', '일상', '정책', '즉', '단계', '일상', '회복']","['다', '아실', '입니다', '중대한', '하지', '않고', '같은', '여기겠다는', '입니다', '하지', '않고', '해서', '돌아가는', '입니다', '입니다']"
46,"['확산', '위드', '코로나', '절반', '번', '중단', '수습', '지레', '정작', '사과', '피해자', '대하', '건', '그', '거']","['키우는', '져야', '할래', '할', '싸질러', '놓으면서', '없고', '다를', '없다', '이거야', '무책임한']"
47,"['나', '케이팝', '정', '위드', '코로나', '거', '안', '시샘', '질투', '어쩌']","['한', '그런', '했으면', '좋겠어']"
48,"['김', '총리', '방역', '상황', '악화', '내일', '단계', '일상', '회복', '방향', '결정']",['급속히']
49,"['제발', '월', '지금', '노인', '층', '백신', '개월', '시점', '백신', '효과', '시작', '사람', '위드', '코로나', '확', '진자', '위중', '증상', '자도', '대요']","['버텨주길', '맞은', '지', '지나는', '떨어지기', '하기도', '했고', '엄청', '돌아다녀서', '많']"
50,"['사실', '위드', '코로나', '유럽', '각국', '봉쇄', '조치', '돌입']",['끝난']
51,"['말로', '때', '위드', '코로나', '폐지', '다시', '사회', '거리', '두기', '및', '비', '대면', '전환']","['좋은', '할', '해라']"
52,"['김해시', '도시', '개발', '공사', '단계', '일상', '회복', '수영', '강습', '프로그램', '재개', '김해시', '도시', '개발', '공사', '지난', '연월일', '코로나', '강습', '프로그램', '중단', '이후', '년', '개월', '공백', '장유', '동부', '스포츠', '센터', '월', '일', '해동', '스포츠', '센터', '월', '일', '수영', '강습']","['따른', '인한', '깨고', '오는']"
53,"['위드', '코로나', '하자', '결과', '뭘']","['당연한', '그렇게', '놀라']"
54,"['꽉', '찬', '병상', '확', '진자', '위드', '코로나', '주차', '위태', '다음', '뉴스']",['쏟아지는']
55,"['어차피', '위드', '코로나', '숫자']","['놀음', '작작하지']"
56,"['단계', '일상', '이제', '공연', '표', '파네']","['회복해서', '엄청', '많이']"
57,"['문재인', '위드', '코로나', '실패', '위드', '코로나', '당장', '취소', '대책', '도시', '봉쇄', '거리', '두기', '강화', '재택근무', '즉각', '실시', '코로나', '정권', '문재인', '정권', '사상', '최악', '정권', '정권', '교체', '정권', '교체', '국민', '아우성']","['무능한', '완전히', '해야', '유일한']"
58,"['위드', '코로나', '마', '그냥']",['하지']
59,"['월일', '시', '월일', '시', '기준', '대한민국', '코로나', '바이러스', '현황', '오늘', '사망자', '명', '재원', '위중', '증', '명', '신규', '입원', '명', '오늘', '확', '진자', '명', '드', '코로나', '단계', '일상', '회복', '코로나', '바이러스', '감염증', '국내', '확', '진자']",[]
